t_6B.1,t_6B.1A.2,t_6B.1A.3,t_6B.1A.4,t_6B.1A.5a,t_6B.1A.5a1,t_6B.1A.5a2,t_6B.1A.5b,t_6B.1A.6,t_6B.1A.7,t_pre-6B.1,c_6B.1,c_6B.1A.2,c_6B.1A.3,c_6B.1A.4,c_6B.1A.5a,c_6B.1A.5a1,c_6B.1A.5a2,c_6B.1A.5b,c_6B.1A.6,c_6B.1A.7,c_pre-6B.1,k_6B.1,k_6B.1A.2,k_6B.1A.3,k_6B.1A.4,k_6B.1A.5a,k_6B.1A.5a1,k_6B.1A.5a2,k_6B.1A.5b,k_6B.1A.6,k_6B.1A.7,k_pre-6B.1,qt_6B.1,qt_6B.1A.2,qt_6B.1A.3,qt_6B.1A.4,qt_6B.1A.5a,qt_6B.1A.5a1,qt_6B.1A.5a2,qt_6B.1A.5b,qt_6B.1A.6,qt_6B.1A.7,qt_pre-6B.1
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.0000000000005482e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.04659154567914428,1.0e-10,0.9762000139612836,0.9805581539008099,8.196984039220193e-6,1.0e-10,1.0e-10,1.0000000000012404e-10,0.0009781428240159123,0.08154701825895899,0.024753759885463245,0.891645657256041,1.4872689137834386e-9,0.0009399561596609375,0.00045968653171410585
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1231717368922034,1.0e-10,1.000000000000548e-10,1.0e-10,1.0996502835795219,1.085600506330331,1.0928736398773085,0.07956962403438234,1.0e-10,0.7139505296467239,0.99901992614774,1.2116119220472347e-5,1.0e-10,0.0031250000996875024,1.0000000000017636e-10,0.0010698437043924042,0.08420934125781318,0.025753640148281822,0.9327864467666379,1.7603874811845531e-9,0.001045701216372793,0.0005070916949846231
